orig_index,true_label,prob_pos,pred_label
279,0,0.03028765959437056,0
57,0,0.08286464586793532,0
637,0,0.10780100523026076,0
7,1,0.7363136210986924,1
340,1,0.6151702635852211,1
403,0,0.028188517434836562,0
364,1,0.7150574684181198,1
86,0,0.3706372250482916,0
300,0,0.3572082883247159,0
598,0,0.27726572469627,0
330,0,0.621479249015453,1
332,1,0.2096789742076094,0
11,1,0.5299052844699578,1
79,0,0.23511597128525938,0
491,1,0.9559668778701097,1
573,1,0.9132562701906841,1
596,1,0.869848334600315,1
390,1,0.8748570984566013,1
664,0,0.046766495222057794,0
659,0,0.5859064941008527,1
188,1,0.9746284251961009,1
552,1,0.661557956212662,1
82,1,0.9844199615040642,1
253,1,0.6779717508846598,1
662,0,0.16056301636744277,0
675,1,0.8749662800383866,1
407,0,0.7842049211329851,1
489,0,0.4605743275629533,0
558,1,0.09938599959809288,0
565,1,0.5417438823025441,1
133,1,0.8263823667777364,1
611,1,0.6556766378425991,1
248,0,0.078001796220381,0
47,0,0.42691626610498395,0
523,0,0.32454944498808985,0
472,0,0.34257518567593626,0
421,1,0.39666611496278265,0
576,0,0.2119876248878473,0
702,0,0.522542891472968,1
506,1,0.417385647759615,0
226,0,0.8522584049015723,1
711,1,0.10700440682595531,0
124,0,0.5104473966316729,1
219,0,0.26349618815444376,0
642,0,0.014120233993444652,0
259,0,0.09856863387871906,0
241,0,0.5216027466768818,1
399,1,0.697562983788347,1
481,0,0.06321919501482318,0
151,1,0.7488452554665957,1
612,1,0.8066559287990245,1
135,1,0.7381728285568067,1
614,0,0.0540514627226943,0
164,1,0.8125136327480836,1
249,1,0.6443174031379396,1
239,1,0.2826631409587349,0
295,1,0.8252151111556265,1
467,1,0.7397443998048678,1
641,1,0.9496855306474582,1
302,0,0.21351842781436534,0
672,0,0.7048009599113559,1
235,1,0.9550992811896163,1
128,1,0.7306409367497252,1
127,0,0.8384344494027852,1
100,1,0.32730027971014025,0
648,1,0.7404444217019669,1
290,0,0.4911431178521412,0
430,0,0.29608660099718004,0
405,0,0.5512218139748843,1
208,0,0.2888561468427742,0
209,1,0.816994917502302,1
158,0,0.09842064293663394,0
325,1,0.9751769397144615,1
681,1,0.7673555089473588,1
213,1,0.8333990892601261,1
569,1,0.6540880983079276,1
551,0,0.40068773078274084,0
449,1,0.6906235467124755,1
203,0,0.1446620415537574,0
198,0,0.6351946786123258,1
431,0,0.3638999031022095,0
478,1,0.990549214363778,1
345,0,0.0944085575019813,0
385,1,0.9648799246780673,1
646,1,0.5742835395623582,1
669,1,0.6352446958743037,1
486,1,0.7503481181779142,1
586,0,0.26137383259311536,0
402,1,0.7241945805850516,1
141,1,0.32256704702339367,0
582,0,0.014394546066612102,0
255,0,0.2538983394148964,0
14,1,0.8431468755898113,1
680,1,0.5207616330230501,1
665,1,0.9716369616985081,1
413,0,0.09190592268222261,0
525,0,0.39007818422016843,0
59,0,0.46423713172935654,0
498,1,0.798314859749208,1
695,1,0.960438344686285,1
627,0,0.09709418664880873,0
351,0,0.1500883014646337,0
624,0,0.07975545294481094,0
597,0,0.7328749752185989,1
580,1,0.7587631975699486,1
541,1,0.43168094043840777,0
406,0,0.30247903535482296,0
46,1,0.9816387879075852,1
663,1,0.3600770990472188,0
317,0,0.8875881843492525,1
34,0,0.16766289870492443,0
391,0,0.08032757795291469,0
121,1,0.9935630427951901,1
673,1,0.7307569604674187,1
